Order_Creation_Date,Order_ID,Customer_ID,Is_New_Customer (Y/N),Product_ID,Quantity,Unit_Price,Item_Subtotal,Shipping_Method,Shipping_Fees,Shipping_Cost,Is_Shipping_Discount_Used,Shipping_Discount_Amount,Is_Product_Order_Discount_Used  (Y/N),Product_Order_Discount_Amount,COGS,Net_Profit,Net_Profit_Including_Shipping,Used a discount,Price - discount
01/07/2025,ORD_0107_1,CUSTAAG,Y,Prod_2,1,$11.0,$11.0,standard,$1,$1,Y,$1,N,,$2.5,$8.50,$7.50,TRUE,$11.0
01/07/2025,ORD_0107_2,CUSTAAH,N,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,N,,$1.0,$3.50,$3.50,FALSE,$4.5
01/07/2025,ORD_0107_2,CUSTAAH,N,Prod_2,1,$11.0,$11.0,standard,$1,$1,N,,N,,$2.5,$8.50,$8.50,FALSE,$11.0
01/07/2025,ORD_0107_2,CUSTAAH,N,Prod_18,1,$14.0,$14.0,standard,$1,$1,N,,N,,$2.8,$11.20,$11.20,FALSE,$14.0
01/09/2025,ORD_0109_1,CUSTAAI,Y,Prod_2,1,$11.0,$11.0,standard,$1,$1,Y,$1,N,,$2.5,$8.50,$7.50,TRUE,$11.0
01/09/2025,ORD_0109_2,CUSTAAJ,Y,Prod_3,1,$11.0,$11.0,standard,$1,$1,Y,$1,Y,$3,$3.0,$5.00,$4.00,TRUE,$8.0
01/09/2025,ORD_0109_3,CUSTAAK,N,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,N,,$1.0,$3.50,$3.50,FALSE,$4.5
01/10/2025,ORD_0110_1,CUSTAAL,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/10/2025,ORD_0110_2,CUSTAAM,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/11/2025,ORD_0111_1,CUSTAAN,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,Y,$1,Y,$1.50,$1.0,$2.00,$1.00,TRUE,$3.0
01/11/2025,ORD_0111_1,CUSTAAN,Y,Prod_8,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.50,$2.0,$2.50,$1.50,TRUE,$4.5
01/11/2025,ORD_0111_2,CUSTAAO,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/11/2025,ORD_0111_3,CUSTAAP,Y,Prod_2,1,$11.0,$11.0,standard,$1,$1,N,,N,,$2.5,$8.50,$8.50,FALSE,$11.0
01/13/2025,ORD_0113_1,CUSTAAM,N,Prod_3,1,$11.0,$11.0,standard,$1,$1,N,,N,,$3.0,$8.00,$8.00,FALSE,$11.0
01/14/2025,ORD_0114_1,CUSTAAQ,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/14/2025,ORD_0114_2,CUSTAAR,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/14/2025,ORD_0114_3,CUSTAAS,N,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,N,,$1.0,$3.50,$3.50,FALSE,$4.5
01/14/2025,ORD_0114_3,CUSTAAS,N,Prod_3,1,$13.0,$13.0,standard,$1,$1,N,,N,,$3.0,$10.00,$10.00,FALSE,$13.0
01/14/2025,ORD_0114_3,CUSTAAS,N,Prod_4,1,$19.0,$19.0,standard,$1,$1,N,,N,,$4.0,$15.00,$15.00,FALSE,$19.0
01/14/2025,ORD_0114_3,CUSTAAS,N,Prod_8,1,$6.0,$6.0,standard,$1,$1,N,,N,,$2.0,$4.00,$4.00,FALSE,$6.0
01/16/2025,ORD_0116_1,CUSTAAT,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/17/2025,ORD_0117_1,CUSTAAU,Y,Prod_7,1,$5.0,$5.0,standard,$1,$1,N,,Y,$3,$0.8,$1.20,$1.20,TRUE,$2.0
01/17/2025,ORD_0117_2,CUSTAAV,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,Y,$1,Y,$1.50,$1.0,$2.00,$1.00,TRUE,$3.0
01/17/2025,ORD_0117_2,CUSTAAV,Y,Prod_9,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.50,$2.0,$2.50,$1.50,TRUE,$4.5
01/18/2025,ORD_0118_1,CUSTAAW,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,Y,$1,Y,$1.00,$1.0,$2.50,$1.50,TRUE,$3.5
01/18/2025,ORD_0118_1,CUSTAAW,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,Y,$1,Y,$1.00,$0.8,$2.20,$1.20,TRUE,$3.0
01/18/2025,ORD_0118_1,CUSTAAW,Y,Prod_9,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.00,$2.0,$3.00,$2.00,TRUE,$5.0
01/18/2025,ORD_0118_2,CUSTAAX,N,Prod_4,1,$19.0,$19.0,standard,$1,$1,N,,N,,$4.0,$15.00,$15.00,FALSE,$19.0
01/18/2025,ORD_0118_3,CUSTAAY,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/19/2025,ORD_0119_1,CUSTAAZ,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/20/2025,ORD_0120_1,CUSTAAU,N,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$0.80,$0.8,$2.40,$2.40,TRUE,$3.2
01/20/2025,ORD_0120_1,CUSTAAU,N,Prod_9,1,$6.0,$6.0,standard,$1,$1,N,,Y,$1.20,$2.0,$2.80,$2.80,TRUE,$4.8
01/20/2025,ORD_0120_1,CUSTAAU,N,Prod_10,1,$7.0,$7.0,standard,$1,$1,N,,Y,$1.40,$3.0,$2.60,$2.60,TRUE,$5.6
01/20/2025,ORD_0120_2,CUSTABA,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$3,$0.8,$0.20,$0.20,TRUE,$1.0
01/20/2025,ORD_0120_3,CUSTABB,N,Prod_7,2,$4.0,$8.0,standard,$1,$1,N,,Y,$1.60,$1.6,$4.80,$4.80,TRUE,$3.2
01/20/2025,ORD_0120_3,CUSTABB,N,Prod_9,1,$6.0,$6.0,standard,$1,$1,N,,Y,$1.20,$2.0,$2.80,$2.80,TRUE,$4.8
01/21/2025,ORD_0121_1,CUSTABC,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$3,$0.8,$0.20,$0.20,TRUE,$1.0
01/22/2025,ORD_0122_1,CUSTABD,N,Prod_6,1,$15.0,$15.0,standard,$1,$1,N,,N,,$5.0,$10.00,$10.00,FALSE,$15.0
01/22/2025,ORD_0122_2,CUSTABE,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,N,,$0.8,$3.20,$3.20,FALSE,$4.0
01/23/2025,ORD_0123_1,CUSTABF,N,Prod_5,1,$29.0,$29.0,standard,$1,$1,N,,N,,$10.0,$19.00,$19.00,FALSE,$29.0
01/23/2025,ORD_0123_2,CUSTABG,N,Prod_9,2,$6.0,$12.0,standard,$1,$1,N,,Y,$2.40,$4.0,$5.60,$5.60,TRUE,$4.8
01/23/2025,ORD_0123_2,CUSTABG,N,Prod_10,1,$7.0,$7.0,standard,$1,$1,N,,Y,$1.40,$3.0,$2.60,$2.60,TRUE,$5.6
01/23/2025,ORD_0123_3,CUSTABH,N,Prod_9,4,$6.0,$24.0,standard,$1,$1,N,,Y,$4.00,$8.0,$12.00,$12.00,TRUE,$5.0
01/23/2025,ORD_0123_3,CUSTABH,N,Prod_10,1,$7.0,$7.0,standard,$1,$1,N,,Y,$1.00,$3.0,$3.00,$3.00,TRUE,$6.0
01/24/2025,ORD_0124_1,CUSTABI,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/24/2025,ORD_0124_2,CUSTABJ,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$3,$0.8,$0.20,$0.20,TRUE,$1.0
01/25/2025,ORD_0125_1,CUSTABK,Y,Prod_7,1,$5.0,$5.0,standard,$1,$1,Y,$1,Y,$1.50,$0.8,$2.70,$1.70,TRUE,$3.5
01/25/2025,ORD_0125_1,CUSTABK,Y,Prod_9,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.50,$2.0,$2.50,$1.50,TRUE,$4.5
01/25/2025,ORD_0125_2,CUSTABL,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$3,$0.8,$0.20,$0.20,TRUE,$1.0
01/26/2025,ORD_0126_1,CUSTABM,N,Prod_6,1,$15.0,$15.0,standard,$1,$1,N,,N,,$5.0,$10.00,$10.00,FALSE,$15.0
01/26/2025,ORD_0126_2,CUSTABN,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3,$1.0,$0.50,$0.50,TRUE,$1.5
01/26/2025,ORD_0126_3,CUSTABO,N,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$0.80,$0.8,$2.40,$2.40,TRUE,$3.2
01/26/2025,ORD_0126_3,CUSTABO,N,Prod_9,1,$6.0,$6.0,standard,$1,$1,N,,Y,$1.20,$2.0,$2.80,$2.80,TRUE,$4.8
01/26/2025,ORD_0126_3,CUSTABO,N,Prod_10,1,$7.0,$7.0,standard,$1,$1,N,,Y,$1.40,$3.0,$2.60,$2.60,TRUE,$5.6
01/28/2025,ORD_0128_1,CUSTABP,Y,Prod_7,1,$5.0,$5.0,standard,$1,$1,Y,$1,Y,$1.50,$0.8,$2.70,$1.70,TRUE,$3.5
01/28/2025,ORD_0128_1,CUSTABP,Y,Prod_9,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.50,$2.0,$2.50,$1.50,TRUE,$4.5
01/28/2025,ORD_0128_2,CUSTABQ,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,N,,$0.8,$3.20,$3.20,FALSE,$4.0
01/28/2025,ORD_0128_3,CUSTABR,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3.00,$1.0,$0.50,$0.50,TRUE,$1.5
01/29/2025,ORD_0129_1,CUSTABS,N,Prod_9,3,$6.0,$18.0,standard,$1,$1,N,,Y,$3.00,$6.0,$9.00,$9.00,TRUE,$5.0
01/29/2025,ORD_0129_1,CUSTABS,N,Prod_10,2,$7.0,$14.0,standard,$1,$1,N,,Y,$2.00,$6.0,$6.00,$6.00,TRUE,$6.0
01/29/2025,ORD_0129_2,CUSTABT,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,Y,$3.00,$0.8,$0.20,$0.20,TRUE,$1.0
01/29/2025,ORD_0129_3,CUSTABU,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,N,,$0.8,$3.20,$3.20,FALSE,$4.0
01/30/2025,ORD_0130_1,CUSTABV,Y,Prod_7,1,$5.0,$5.0,standard,$1,$1,Y,$1,Y,$1.50,$0.8,$2.70,$1.70,TRUE,$3.5
01/30/2025,ORD_0130_1,CUSTABV,Y,Prod_9,1,$6.0,$6.0,standard,$1,$1,Y,$1,Y,$1.50,$2.0,$2.50,$1.50,TRUE,$4.5
01/30/2025,ORD_0130_2,CUSTABK,N,Prod_3,1,$13.0,$13.0,standard,$1,$1,N,,N,,$3.0,$10.00,$10.00,FALSE,$13.0
01/30/2025,ORD_0130_3,CUSTABW,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,N,,$0.8,$3.20,$3.20,FALSE,$4.0
01/30/2025,ORD_0130_4,CUSTABX,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3.00,$1.0,$0.50,$0.50,TRUE,$1.5
01/31/2025,ORD_0131_1,CUSTABK,N,Prod_4,1,$17.0,$17.0,standard,$1,$1,N,,N,,$4.0,$13.00,$13.00,FALSE,$17.0
01/31/2025,ORD_0131_2,CUSTABY,Y,Prod_7,1,$4.0,$4.0,standard,$1,$1,N,,N,,$0.8,$3.20,$3.20,FALSE,$4.0
01/31/2025,ORD_0131_3,CUSTABZ,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3.00,$1.0,$0.50,$0.50,TRUE,$1.5
01/31/2025,ORD_0131_4,CUSTACA,Y,Prod_1,1,$4.5,$4.5,standard,$1,$1,N,,Y,$3.00,$1.0,$0.50,$0.50,TRUE,$1.5
